Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US23,23,Maine,0400000US23,23,Maine,Maine,1328361,721830,35379.74,4536.82,30842.92,43.1,23.4
0400000US23,23,Maine,0500000US23001,23001,Maine - Androscoggin County,Androscoggin County,107702,49090,497.12,29.19,467.93,230.2,104.9
0400000US23,23,Maine,0500000US23003,23003,Maine - Aroostook County,Aroostook County,71870,39529,6827.57,156.24,6671.33,10.8,5.9
0400000US23,23,Maine,0500000US23005,23005,Maine - Cumberland County,Cumberland County,281674,138657,1217.46,382.22,835.24,337.2,166
0400000US23,23,Maine,0500000US23007,23007,Maine - Franklin County,Franklin County,30768,21709,1743.48,46.87,1696.61,18.1,12.8
0400000US23,23,Maine,0500000US23009,23009,Maine - Hancock County,Hancock County,54418,40184,2344.94,758.04,1586.89,34.3,25.3
0400000US23,23,Maine,0500000US23011,23011,Maine - Kennebec County,Kennebec County,122151,60972,951.17,83.65,867.52,140.8,70.3
0400000US23,23,Maine,0500000US23013,23013,Maine - Knox County,Knox County,39736,23744,1143.95,778.81,365.13,108.8,65
0400000US23,23,Maine,0500000US23015,23015,Maine - Lincoln County,Lincoln County,34457,23493,699.6,243.79,455.82,75.6,51.5
0400000US23,23,Maine,0500000US23017,23017,Maine - Oxford County,Oxford County,57833,36055,2175.72,98.88,2076.84,27.8,17.4
0400000US23,23,Maine,0500000US23019,23019,Maine - Penobscot County,Penobscot County,153923,73860,3557.08,159.72,3397.36,45.3,21.7
0400000US23,23,Maine,0500000US23021,23021,Maine - Piscataquis County,Piscataquis County,17535,15340,4377.97,417.11,3960.86,4.4,3.9
0400000US23,23,Maine,0500000US23023,23023,Maine - Sagadahoc County,Sagadahoc County,35293,18288,370.04,116.34,253.69,139.1,72.1
0400000US23,23,Maine,0500000US23025,23025,Maine - Somerset County,Somerset County,52228,30569,4093.53,169.13,3924.4,13.3,7.8
0400000US23,23,Maine,0500000US23027,23027,Maine - Waldo County,Waldo County,38786,21566,852.76,122.84,729.92,53.1,29.5
0400000US23,23,Maine,0500000US23029,23029,Maine - Washington County,Washington County,32856,23001,3257.65,694.99,2562.66,12.8,9
0400000US23,23,Maine,0500000US23031,23031,Maine - York County,York County,197131,105773,1269.71,279,990.71,199,106.8