﻿Sumlev,State,County,Place,Cousub,Concit,Primgeo Flag,Funcstat,Name,Year,Census Year,2010 Census Population,City/Town,Lower City
61,23,21,0,100,0,1,A,Abbot town,Census2010Pop,1/1/10,714,Abbot,abbot
61,23,31,0,275,0,1,A,Acton town,Census2010Pop,1/1/10,"2,447",Acton,acton
61,23,29,0,380,0,1,A,Addison town,Census2010Pop,1/1/10,"1,266",Addison,addison
61,23,11,0,590,0,1,A,Albion town,Census2010Pop,1/1/10,"2,041",Albion,albion
61,23,29,0,660,0,1,A,Alexander town,Census2010Pop,1/1/10,499,Alexander,alexander
61,23,31,0,730,0,1,A,Alfred town,Census2010Pop,1/1/10,"3,019",Alfred,alfred
61,23,3,0,800,0,1,A,Allagash town,Census2010Pop,1/1/10,239,Allagash,allagash
61,23,15,0,"1,010",0,1,A,Alna town,Census2010Pop,1/1/10,709,Alna,alna
61,23,19,0,"1,115",0,1,A,Alton town,Census2010Pop,1/1/10,890,Alton,alton
61,23,9,0,"1,185",0,1,A,Amherst town,Census2010Pop,1/1/10,265,Amherst,amherst
61,23,3,0,"1,220",0,1,A,Amity town,Census2010Pop,1/1/10,238,Amity,amity
61,23,17,0,"1,325",0,1,A,Andover town,Census2010Pop,1/1/10,821,Andover,andover
61,23,25,0,"1,395",0,1,A,Anson town,Census2010Pop,1/1/10,"2,511",Anson,anson
61,23,13,0,"1,465",0,1,A,Appleton town,Census2010Pop,1/1/10,"1,316",Appleton,appleton
61,23,23,0,"1,570",0,1,A,Arrowsic town,Census2010Pop,1/1/10,427,Arrowsic,arrowsic
61,23,31,0,"1,605",0,1,A,Arundel town,Census2010Pop,1/1/10,"4,022",Arundel,arundel
61,23,3,0,"1,710",0,1,A,Ashland town,Census2010Pop,1/1/10,"1,302",Ashland,ashland
61,23,25,0,"1,885",0,1,A,Athens town,Census2010Pop,1/1/10,"1,019",Athens,athens
61,23,21,0,"1,920",0,1,A,Atkinson town,Census2010Pop,1/1/10,326,Atkinson,atkinson
71,23,1,"2,060","2,060",0,1,A,Auburn city,Census2010Pop,1/1/10,"23,055",Auburn,auburn
71,23,11,"2,100","2,100",0,1,A,Augusta city,Census2010Pop,1/1/10,"19,136",Augusta,augusta
61,23,9,0,"2,165",0,1,A,Aurora town,Census2010Pop,1/1/10,114,Aurora,aurora
61,23,7,0,"2,235",0,1,A,Avon town,Census2010Pop,1/1/10,461,Avon,avon
61,23,29,0,"2,480",0,1,A,Baileyville town,Census2010Pop,1/1/10,"1,521",Baileyville,baileyville
61,23,5,0,"2,655",0,1,A,Baldwin town,Census2010Pop,1/1/10,"1,525",Baldwin,baldwin
61,23,3,0,"2,760",0,1,A,Bancroft town,Census2010Pop,1/1/10,68,Bancroft,bancroft
71,23,19,"2,795","2,795",0,1,A,Bangor city,Census2010Pop,1/1/10,"33,039",Bangor,bangor
61,23,9,0,"2,865",0,1,A,Bar Harbor town,Census2010Pop,1/1/10,"5,235",Bar Harbor,bar harbor
61,23,29,0,"2,970",0,1,A,Baring plantation,Census2010Pop,1/1/10,251,Baring,baring
71,23,23,"3,355","3,355",0,1,A,Bath city,Census2010Pop,1/1/10,"8,514",Bath,bath
61,23,29,0,"3,670",0,1,A,Beals town,Census2010Pop,1/1/10,508,Beals,beals
61,23,21,0,"3,740",0,1,A,Beaver Cove town,Census2010Pop,1/1/10,122,Beaver Cove,beaver cove
61,23,29,0,"3,810",0,1,A,Beddington town,Census2010Pop,1/1/10,50,Beddington,beddington
71,23,27,"3,950","3,950",0,1,A,Belfast city,Census2010Pop,1/1/10,"6,668",Belfast,belfast
61,23,11,0,"4,020",0,1,A,Belgrade town,Census2010Pop,1/1/10,"3,189",Belgrade,belgrade
61,23,27,0,"4,125",0,1,A,Belmont town,Census2010Pop,1/1/10,942,Belmont,belmont
61,23,11,0,"4,475",0,1,A,Benton town,Census2010Pop,1/1/10,"2,732",Benton,benton
61,23,31,0,"4,720",0,1,A,Berwick town,Census2010Pop,1/1/10,"7,246",Berwick,berwick
61,23,17,0,"4,825",0,1,A,Bethel town,Census2010Pop,1/1/10,"2,607",Bethel,bethel
71,23,31,"4,860","4,860",0,1,A,Biddeford city,Census2010Pop,1/1/10,"21,277",Biddeford,biddeford
61,23,25,0,"5,000",0,1,A,Bingham town,Census2010Pop,1/1/10,922,Bingham,bingham
61,23,3,0,"5,385",0,1,A,Blaine town,Census2010Pop,1/1/10,726,Blaine,blaine
61,23,9,0,"5,700",0,1,A,Blue Hill town,Census2010Pop,1/1/10,"2,686",Blue Hill,blue hill
61,23,15,0,"6,120",0,1,A,Boothbay Harbor town,Census2010Pop,1/1/10,"2,165",Boothbay Harbor,boothbay harbor
61,23,15,0,"6,050",0,1,A,Boothbay town,Census2010Pop,1/1/10,"3,120",Boothbay,boothbay
61,23,23,0,"6,260",0,1,A,Bowdoin town,Census2010Pop,1/1/10,"3,061",Bowdoin,bowdoin
61,23,23,0,"6,365",0,1,A,Bowdoinham town,Census2010Pop,1/1/10,"2,889",Bowdoinham,bowdoinham
61,23,21,0,"6,400",0,1,A,Bowerbank town,Census2010Pop,1/1/10,116,Bowerbank,bowerbank
61,23,19,0,"6,575",0,1,A,Bradford town,Census2010Pop,1/1/10,"1,290",Bradford,bradford
61,23,19,0,"6,680",0,1,A,Bradley town,Census2010Pop,1/1/10,"1,492",Bradley,bradley
61,23,15,0,"6,855",0,1,A,Bremen town,Census2010Pop,1/1/10,806,Bremen,bremen
71,23,19,"6,925","6,925",0,1,A,Brewer city,Census2010Pop,1/1/10,"9,482",Brewer,brewer
61,23,3,0,"7,065",0,1,A,Bridgewater town,Census2010Pop,1/1/10,610,Bridgewater,bridgewater
61,23,5,0,"7,170",0,1,A,Bridgton town,Census2010Pop,1/1/10,"5,210",Bridgton,bridgton
61,23,25,0,"7,380",0,1,A,Brighton plantation,Census2010Pop,1/1/10,70,Brighton,brighton
61,23,15,0,"7,485",0,1,A,Bristol town,Census2010Pop,1/1/10,"2,755",Bristol,bristol
61,23,9,0,"7,800",0,1,A,Brooklin town,Census2010Pop,1/1/10,824,Brooklin,brooklin
61,23,27,0,"7,870",0,1,A,Brooks town,Census2010Pop,1/1/10,"1,078",Brooks,brooks
61,23,9,0,"7,975",0,1,A,Brooksville town,Census2010Pop,1/1/10,934,Brooksville,brooksville
61,23,17,0,"8,150",0,1,A,Brownfield town,Census2010Pop,1/1/10,"1,597",Brownfield,brownfield
61,23,21,0,"8,325",0,1,A,Brownville town,Census2010Pop,1/1/10,"1,250",Brownville,brownville
61,23,5,0,"8,430",0,1,A,Brunswick town,Census2010Pop,1/1/10,"20,278",Brunswick,brunswick
61,23,17,0,"8,710",0,1,A,Buckfield town,Census2010Pop,1/1/10,"2,009",Buckfield,buckfield
61,23,9,0,"8,815",0,1,A,Bucksport town,Census2010Pop,1/1/10,"4,924",Bucksport,bucksport
61,23,19,0,"9,200",0,1,A,Burlington town,Census2010Pop,1/1/10,363,Burlington,burlington
61,23,27,0,"9,270",0,1,A,Burnham town,Census2010Pop,1/1/10,"1,164",Burnham,burnham
61,23,31,0,"9,410",0,1,A,Buxton town,Census2010Pop,1/1/10,"8,034",Buxton,buxton
61,23,17,0,"9,550",0,1,A,Byron town,Census2010Pop,1/1/10,145,Byron,byron
71,23,29,"9,585","9,585",0,1,A,Calais city,Census2010Pop,1/1/10,"3,123",Calais,calais
61,23,25,0,"9,655",0,1,A,Cambridge town,Census2010Pop,1/1/10,462,Cambridge,cambridge
61,23,13,0,"9,725",0,1,A,Camden town,Census2010Pop,1/1/10,"4,850",Camden,camden
61,23,25,0,"9,935",0,1,A,Canaan town,Census2010Pop,1/1/10,"2,275",Canaan,canaan
61,23,17,0,"10,005",0,1,A,Canton town,Census2010Pop,1/1/10,990,Canton,canton
61,23,5,0,"10,180",0,1,A,Cape Elizabeth town,Census2010Pop,1/1/10,"9,015",Cape Elizabeth,cape elizabeth
61,23,25,0,"10,495",0,1,A,Caratunk town,Census2010Pop,1/1/10,69,Caratunk,caratunk
71,23,3,"10,565","10,565",0,1,A,Caribou city,Census2010Pop,1/1/10,"8,189",Caribou,caribou
61,23,19,0,"10,670",0,1,A,Carmel town,Census2010Pop,1/1/10,"2,794",Carmel,carmel
61,23,7,0,"10,740",0,1,A,Carrabassett Valley town,Census2010Pop,1/1/10,781,Carrabassett Valley,carrabassett valley
61,23,19,0,"10,810",0,1,A,Carroll plantation,Census2010Pop,1/1/10,153,Carroll,carroll
61,23,7,0,"10,915",0,1,A,Carthage town,Census2010Pop,1/1/10,560,Carthage,carthage
61,23,3,0,"11,020",0,1,A,Cary plantation,Census2010Pop,1/1/10,218,Cary,cary
61,23,5,0,"11,125",0,1,A,Casco town,Census2010Pop,1/1/10,"3,742",Casco,casco
61,23,9,0,"11,265",0,1,A,Castine town,Census2010Pop,1/1/10,"1,366",Castine,castine
61,23,3,0,"11,300",0,1,A,Castle Hill town,Census2010Pop,1/1/10,425,Castle Hill,castle hill
61,23,3,0,"11,335",0,1,A,Caswell town,Census2010Pop,1/1/10,306,Caswell,caswell
61,23,3,0,"12,000",0,1,A,Chapman town,Census2010Pop,1/1/10,468,Chapman,chapman
61,23,19,0,"12,105",0,1,A,Charleston town,Census2010Pop,1/1/10,"1,409",Charleston,charleston
61,23,29,0,"12,175",0,1,A,Charlotte town,Census2010Pop,1/1/10,332,Charlotte,charlotte
61,23,5,0,"12,300",0,1,A,Chebeague Island town,Census2010Pop,1/1/10,341,Chebeague Island,chebeague island
61,23,11,0,"12,350",0,1,A,Chelsea town,Census2010Pop,1/1/10,"2,721",Chelsea,chelsea
61,23,29,0,"12,455",0,1,A,Cherryfield town,Census2010Pop,1/1/10,"1,232",Cherryfield,cherryfield
61,23,19,0,"12,525",0,1,A,Chester town,Census2010Pop,1/1/10,546,Chester,chester
61,23,7,0,"12,595",0,1,A,Chesterville town,Census2010Pop,1/1/10,"1,352",Chesterville,chesterville
61,23,11,0,"12,735",0,1,A,China town,Census2010Pop,1/1/10,"4,328",China,china
61,23,19,0,"13,365",0,1,A,Clifton town,Census2010Pop,1/1/10,921,Clifton,clifton
61,23,11,0,"13,470",0,1,A,Clinton town,Census2010Pop,1/1/10,"3,486",Clinton,clinton
61,23,29,0,"13,610",0,1,A,Codyville plantation,Census2010Pop,1/1/10,24,Codyville,codyville
61,23,29,0,"13,820",0,1,A,Columbia Falls town,Census2010Pop,1/1/10,560,Columbia Falls,columbia falls
61,23,29,0,"13,750",0,1,A,Columbia town,Census2010Pop,1/1/10,486,Columbia,columbia
61,23,29,0,"14,100",0,1,A,Cooper town,Census2010Pop,1/1/10,154,Cooper,cooper
61,23,7,0,"14,205",0,1,A,Coplin plantation,Census2010Pop,1/1/10,166,Coplin,coplin
61,23,19,0,"14,310",0,1,A,Corinna town,Census2010Pop,1/1/10,"2,198",Corinna,corinna
61,23,19,0,"14,380",0,1,A,Corinth town,Census2010Pop,1/1/10,"2,878",Corinth,corinth
61,23,31,0,"14,485",0,1,A,Cornish town,Census2010Pop,1/1/10,"1,403",Cornish,cornish
61,23,25,0,"14,555",0,1,A,Cornville town,Census2010Pop,1/1/10,"1,314",Cornville,cornville
61,23,9,0,"14,905",0,1,A,Cranberry Isles town,Census2010Pop,1/1/10,141,Cranberry Isles,cranberry isles
61,23,29,0,"14,940",0,1,A,Crawford town,Census2010Pop,1/1/10,105,Crawford,crawford
61,23,3,0,"15,395",0,1,A,Crystal town,Census2010Pop,1/1/10,269,Crystal,crystal
61,23,5,0,"15,430",0,1,A,Cumberland town,Census2010Pop,1/1/10,"7,211",Cumberland,cumberland
61,23,13,0,"15,780",0,1,A,Cushing town,Census2010Pop,1/1/10,"1,534",Cushing,cushing
61,23,29,0,"15,920",0,1,A,Cutler town,Census2010Pop,1/1/10,507,Cutler,cutler
61,23,3,0,"15,990",0,1,A,Cyr plantation,Census2010Pop,1/1/10,103,Cyr,cyr
61,23,7,0,"16,165",0,1,A,Dallas plantation,Census2010Pop,1/1/10,309,Dallas,dallas
61,23,15,0,"16,235",0,1,A,Damariscotta town,Census2010Pop,1/1/10,"2,218",Damariscotta,damariscotta
61,23,29,0,"16,410",0,1,A,Danforth town,Census2010Pop,1/1/10,589,Danforth,danforth
61,23,31,0,"16,725",0,1,A,Dayton town,Census2010Pop,1/1/10,"1,965",Dayton,dayton
61,23,29,0,"16,865",0,1,A,Deblois town,Census2010Pop,1/1/10,57,Deblois,deblois
61,23,9,0,"16,935",0,1,A,Dedham town,Census2010Pop,1/1/10,"1,681",Dedham,dedham
61,23,9,0,"17,145",0,1,A,Deer Isle town,Census2010Pop,1/1/10,"1,975",Deer Isle,deer isle
61,23,17,0,"17,250",0,1,A,Denmark town,Census2010Pop,1/1/10,"1,148",Denmark,denmark
61,23,25,0,"17,285",0,1,A,Dennistown plantation,Census2010Pop,1/1/10,33,Dennistown,dennistown
61,23,29,0,"17,355",0,1,A,Dennysville town,Census2010Pop,1/1/10,342,Dennysville,dennysville
61,23,25,0,"17,460",0,1,A,Detroit town,Census2010Pop,1/1/10,852,Detroit,detroit
61,23,19,0,"17,530",0,1,A,Dexter town,Census2010Pop,1/1/10,"3,895",Dexter,dexter
61,23,17,0,"17,740",0,1,A,Dixfield town,Census2010Pop,1/1/10,"2,550",Dixfield,dixfield
61,23,19,0,"17,950",0,1,A,Dixmont town,Census2010Pop,1/1/10,"1,181",Dixmont,dixmont
61,23,21,0,"18,195",0,1,A,Dover-Foxcroft town,Census2010Pop,1/1/10,"4,213",Dover-Foxcroft,dover-foxcroft
61,23,15,0,"18,475",0,1,A,Dresden town,Census2010Pop,1/1/10,"1,672",Dresden,dresden
61,23,19,0,"18,580",0,1,A,Drew plantation,Census2010Pop,1/1/10,46,Drew,drew
61,23,1,0,"19,105",0,1,A,Durham town,Census2010Pop,1/1/10,"3,848",Durham,durham
61,23,3,0,"19,210",0,1,A,Dyer Brook town,Census2010Pop,1/1/10,213,Dyer Brook,dyer brook
61,23,3,0,"19,420",0,1,A,Eagle Lake town,Census2010Pop,1/1/10,864,Eagle Lake,eagle lake
61,23,29,0,"20,960",0,1,A,East Machias town,Census2010Pop,1/1/10,"1,368",East Machias,east machias
61,23,19,0,"21,030",0,1,A,East Millinocket town,Census2010Pop,1/1/10,"1,723",East Millinocket,east millinocket
61,23,9,0,"19,770",0,1,A,Eastbrook town,Census2010Pop,1/1/10,423,Eastbrook,eastbrook
61,23,3,0,"21,380",0,1,A,Easton town,Census2010Pop,1/1/10,"1,287",Easton,easton
71,23,29,"21,730","21,730",0,1,A,Eastport city,Census2010Pop,1/1/10,"1,331",Eastport,eastport
61,23,19,0,"22,535",0,1,A,Eddington town,Census2010Pop,1/1/10,"2,225",Eddington,eddington
61,23,15,0,"22,675",0,1,A,Edgecomb town,Census2010Pop,1/1/10,"1,249",Edgecomb,edgecomb
61,23,19,0,"22,710",0,1,A,Edinburg town,Census2010Pop,1/1/10,131,Edinburg,edinburg
61,23,31,0,"22,955",0,1,A,Eliot town,Census2010Pop,1/1/10,"6,204",Eliot,eliot
71,23,9,"23,200","23,200",0,1,A,Ellsworth city,Census2010Pop,1/1/10,"7,741",Ellsworth,ellsworth
61,23,25,0,"23,410",0,1,A,Embden town,Census2010Pop,1/1/10,939,Embden,embden
61,23,19,0,"23,620",0,1,A,Enfield town,Census2010Pop,1/1/10,"1,607",Enfield,enfield
61,23,19,0,"23,865",0,1,A,Etna town,Census2010Pop,1/1/10,"1,246",Etna,etna
61,23,7,0,"24,005",0,1,A,Eustis town,Census2010Pop,1/1/10,618,Eustis,eustis
61,23,19,0,"24,110",0,1,A,Exeter town,Census2010Pop,1/1/10,"1,092",Exeter,exeter
61,23,25,0,"24,320",0,1,A,Fairfield town,Census2010Pop,1/1/10,"6,735",Fairfield,fairfield
61,23,5,0,"24,495",0,1,A,Falmouth town,Census2010Pop,1/1/10,"11,185",Falmouth,falmouth
61,23,11,0,"24,670",0,1,A,Farmingdale town,Census2010Pop,1/1/10,"2,956",Farmingdale,farmingdale
61,23,7,0,"24,775",0,1,A,Farmington town,Census2010Pop,1/1/10,"7,760",Farmington,farmington
61,23,11,0,"24,950",0,1,A,Fayette town,Census2010Pop,1/1/10,"1,140",Fayette,fayette
61,23,3,0,"25,615",0,1,A,Fort Fairfield town,Census2010Pop,1/1/10,"3,496",Fort Fairfield,fort fairfield
61,23,3,0,"25,755",0,1,A,Fort Kent town,Census2010Pop,1/1/10,"4,097",Fort Kent,fort kent
61,23,27,0,"26,280",0,1,A,Frankfort town,Census2010Pop,1/1/10,"1,124",Frankfort,frankfort
61,23,9,0,"26,350",0,1,A,Franklin town,Census2010Pop,1/1/10,"1,483",Franklin,franklin
61,23,27,0,"26,420",0,1,A,Freedom town,Census2010Pop,1/1/10,719,Freedom,freedom
61,23,5,0,"26,525",0,1,A,Freeport town,Census2010Pop,1/1/10,"7,879",Freeport,freeport
61,23,9,0,"26,595",0,1,A,Frenchboro town,Census2010Pop,1/1/10,61,Frenchboro,frenchboro
61,23,3,0,"26,735",0,1,A,Frenchville town,Census2010Pop,1/1/10,"1,087",Frenchville,frenchville
61,23,13,0,"26,805",0,1,A,Friendship town,Census2010Pop,1/1/10,"1,152",Friendship,friendship
61,23,5,0,"27,025",0,1,A,Frye Island town,Census2010Pop,1/1/10,5,Frye Island,frye island
61,23,17,0,"26,910",0,1,A,Fryeburg town,Census2010Pop,1/1/10,"3,449",Fryeburg,fryeburg
71,23,11,"27,085","27,085",0,1,A,Gardiner city,Census2010Pop,1/1/10,"5,800",Gardiner,gardiner
61,23,3,0,"27,120",0,1,A,Garfield plantation,Census2010Pop,1/1/10,81,Garfield,garfield
61,23,19,0,"27,190",0,1,A,Garland town,Census2010Pop,1/1/10,"1,105",Garland,garland
61,23,23,0,"27,295",0,1,A,Georgetown town,Census2010Pop,1/1/10,"1,042",Georgetown,georgetown
61,23,17,0,"27,505",0,1,A,Gilead town,Census2010Pop,1/1/10,209,Gilead,gilead
61,23,19,0,"27,645",0,1,A,Glenburn town,Census2010Pop,1/1/10,"4,594",Glenburn,glenburn
61,23,3,0,"27,855",0,1,A,Glenwood plantation,Census2010Pop,1/1/10,3,Glenwood,glenwood
61,23,5,0,"28,240",0,1,A,Gorham town,Census2010Pop,1/1/10,"16,381",Gorham,gorham
61,23,9,0,"28,450",0,1,A,Gouldsboro town,Census2010Pop,1/1/10,"1,737",Gouldsboro,gouldsboro
61,23,3,0,"28,590",0,1,A,Grand Isle town,Census2010Pop,1/1/10,467,Grand Isle,grand isle
61,23,29,0,"28,660",0,1,A,Grand Lake Stream plantation,Census2010Pop,1/1/10,109,Grand Lake Stream,grand lake stream
61,23,5,0,"28,870",0,1,A,Gray town,Census2010Pop,1/1/10,"7,761",Gray,gray
61,23,9,0,"28,975",0,1,A,Great Pond town,Census2010Pop,1/1/10,58,Great Pond,great pond
61,23,19,0,"29,185",0,1,A,Greenbush town,Census2010Pop,1/1/10,"1,491",Greenbush,greenbush
61,23,1,0,"29,255",0,1,A,Greene town,Census2010Pop,1/1/10,"4,350",Greene,greene
61,23,21,0,"29,535",0,1,A,Greenville town,Census2010Pop,1/1/10,"1,646",Greenville,greenville
61,23,17,0,"29,710",0,1,A,Greenwood town,Census2010Pop,1/1/10,830,Greenwood,greenwood
61,23,21,0,"30,095",0,1,A,Guilford town,Census2010Pop,1/1/10,"1,521",Guilford,guilford
71,23,11,"30,550","30,550",0,1,A,Hallowell city,Census2010Pop,1/1/10,"2,381",Hallowell,hallowell
61,23,3,0,"30,690",0,1,A,Hamlin town,Census2010Pop,1/1/10,219,Hamlin,hamlin
61,23,3,0,"30,725",0,1,A,Hammond town,Census2010Pop,1/1/10,118,Hammond,hammond
61,23,19,0,"30,795",0,1,A,Hampden town,Census2010Pop,1/1/10,"7,257",Hampden,hampden
61,23,9,0,"30,970",0,1,A,Hancock town,Census2010Pop,1/1/10,"2,394",Hancock,hancock
61,23,17,0,"31,110",0,1,A,Hanover town,Census2010Pop,1/1/10,238,Hanover,hanover
61,23,25,0,"31,355",0,1,A,Harmony town,Census2010Pop,1/1/10,939,Harmony,harmony
61,23,5,0,"31,390",0,1,A,Harpswell town,Census2010Pop,1/1/10,"4,740",Harpswell,harpswell
61,23,29,0,"31,530",0,1,A,Harrington town,Census2010Pop,1/1/10,"1,004",Harrington,harrington
61,23,5,0,"31,600",0,1,A,Harrison town,Census2010Pop,1/1/10,"2,730",Harrison,harrison
61,23,17,0,"31,670",0,1,A,Hartford town,Census2010Pop,1/1/10,"1,185",Hartford,hartford
61,23,25,0,"31,740",0,1,A,Hartland town,Census2010Pop,1/1/10,"1,782",Hartland,hartland
61,23,3,0,"32,195",0,1,A,Haynesville town,Census2010Pop,1/1/10,121,Haynesville,haynesville
61,23,17,0,"32,370",0,1,A,Hebron town,Census2010Pop,1/1/10,"1,416",Hebron,hebron
61,23,19,0,"32,510",0,1,A,Hermon town,Census2010Pop,1/1/10,"5,416",Hermon,hermon
61,23,3,0,"32,685",0,1,A,Hersey town,Census2010Pop,1/1/10,83,Hersey,hersey
61,23,25,0,"32,895",0,1,A,Highland plantation,Census2010Pop,1/1/10,73,Highland,highland
61,23,17,0,"33,315",0,1,A,Hiram town,Census2010Pop,1/1/10,"1,620",Hiram,hiram
61,23,3,0,"33,385",0,1,A,Hodgdon town,Census2010Pop,1/1/10,"1,309",Hodgdon,hodgdon
61,23,19,0,"33,490",0,1,A,Holden town,Census2010Pop,1/1/10,"3,076",Holden,holden
61,23,31,0,"33,665",0,1,A,Hollis town,Census2010Pop,1/1/10,"4,281",Hollis,hollis
61,23,13,0,"33,840",0,1,A,Hope town,Census2010Pop,1/1/10,"1,536",Hope,hope
61,23,3,0,"33,980",0,1,A,Houlton town,Census2010Pop,1/1/10,"6,123",Houlton,houlton
61,23,19,0,"34,190",0,1,A,Howland town,Census2010Pop,1/1/10,"1,241",Howland,howland
61,23,19,0,"34,365",0,1,A,Hudson town,Census2010Pop,1/1/10,"1,536",Hudson,hudson
61,23,7,0,"34,820",0,1,A,Industry town,Census2010Pop,1/1/10,929,Industry,industry
61,23,3,0,"35,065",0,1,A,Island Falls town,Census2010Pop,1/1/10,837,Island Falls,island falls
61,23,13,0,"35,135",0,1,A,Isle au Haut town,Census2010Pop,1/1/10,73,Isle au Haut,isle au haut
61,23,27,0,"35,240",0,1,A,Islesboro town,Census2010Pop,1/1/10,566,Islesboro,islesboro
61,23,25,0,"35,345",0,1,A,Jackman town,Census2010Pop,1/1/10,862,Jackman,jackman
61,23,27,0,"35,450",0,1,A,Jackson town,Census2010Pop,1/1/10,548,Jackson,jackson
61,23,7,0,"35,625",0,1,A,Jay town,Census2010Pop,1/1/10,"4,851",Jay,jay
61,23,15,0,"35,695",0,1,A,Jefferson town,Census2010Pop,1/1/10,"2,427",Jefferson,jefferson
61,23,29,0,"35,905",0,1,A,Jonesboro town,Census2010Pop,1/1/10,583,Jonesboro,jonesboro
61,23,29,0,"36,010",0,1,A,Jonesport town,Census2010Pop,1/1/10,"1,370",Jonesport,jonesport
61,23,19,0,"36,325",0,1,A,Kenduskeag town,Census2010Pop,1/1/10,"1,348",Kenduskeag,kenduskeag
61,23,31,0,"36,535",0,1,A,Kennebunk town,Census2010Pop,1/1/10,"10,798",Kennebunk,kennebunk
61,23,31,0,"36,745",0,1,A,Kennebunkport town,Census2010Pop,1/1/10,"3,474",Kennebunkport,kennebunkport
61,23,7,0,"37,025",0,1,A,Kingfield town,Census2010Pop,1/1/10,997,Kingfield,kingfield
61,23,21,0,"37,095",0,1,A,Kingsbury plantation,Census2010Pop,1/1/10,28,Kingsbury,kingsbury
61,23,31,0,"37,270",0,1,A,Kittery town,Census2010Pop,1/1/10,"9,490",Kittery,kittery
61,23,27,0,"37,585",0,1,A,Knox town,Census2010Pop,1/1/10,806,Knox,knox
61,23,19,0,"37,760",0,1,A,Lagrange town,Census2010Pop,1/1/10,708,Lagrange,lagrange
61,23,21,0,"37,970",0,1,A,Lake View plantation,Census2010Pop,1/1/10,89,Lake View,lake view
61,23,19,0,"38,005",0,1,A,Lakeville town,Census2010Pop,1/1/10,105,Lakeville,lakeville
61,23,9,0,"38,180",0,1,A,Lamoine town,Census2010Pop,1/1/10,"1,602",Lamoine,lamoine
61,23,31,0,"38,425",0,1,A,Lebanon town,Census2010Pop,1/1/10,"6,031",Lebanon,lebanon
61,23,19,0,"38,530",0,1,A,Lee town,Census2010Pop,1/1/10,922,Lee,lee
61,23,1,0,"38,565",0,1,A,Leeds town,Census2010Pop,1/1/10,"2,326",Leeds,leeds
61,23,19,0,"38,705",0,1,A,Levant town,Census2010Pop,1/1/10,"2,851",Levant,levant
71,23,1,"38,740","38,740",0,1,A,Lewiston city,Census2010Pop,1/1/10,"36,592",Lewiston,lewiston
61,23,27,0,"39,055",0,1,A,Liberty town,Census2010Pop,1/1/10,913,Liberty,liberty
61,23,31,0,"39,195",0,1,A,Limerick town,Census2010Pop,1/1/10,"2,892",Limerick,limerick
61,23,3,0,"39,300",0,1,A,Limestone town,Census2010Pop,1/1/10,"2,314",Limestone,limestone
61,23,31,0,"39,405",0,1,A,Limington town,Census2010Pop,1/1/10,"3,713",Limington,limington
61,23,17,0,"39,422",0,1,A,Lincoln plantation,Census2010Pop,1/1/10,45,Lincoln,lincoln
61,23,19,0,"39,475",0,1,A,Lincoln town,Census2010Pop,1/1/10,"5,085",Lincoln,lincoln
61,23,27,0,"39,755",0,1,A,Lincolnville town,Census2010Pop,1/1/10,"2,164",Lincolnville,lincolnville
61,23,3,0,"39,965",0,1,A,Linneus town,Census2010Pop,1/1/10,984,Linneus,linneus
61,23,1,0,"40,035",0,1,A,Lisbon town,Census2010Pop,1/1/10,"9,009",Lisbon,lisbon
61,23,11,0,"40,175",0,1,A,Litchfield town,Census2010Pop,1/1/10,"3,624",Litchfield,litchfield
61,23,3,0,"40,595",0,1,A,Littleton town,Census2010Pop,1/1/10,"1,068",Littleton,littleton
61,23,1,0,"40,770",0,1,A,Livermore Falls town,Census2010Pop,1/1/10,"3,187",Livermore Falls,livermore falls
61,23,1,0,"40,665",0,1,A,Livermore town,Census2010Pop,1/1/10,"2,095",Livermore,livermore
61,23,5,0,"41,067",0,1,A,Long Island town,Census2010Pop,1/1/10,230,Long Island,long island
61,23,17,0,"41,365",0,1,A,Lovell town,Census2010Pop,1/1/10,"1,140",Lovell,lovell
61,23,19,0,"41,435",0,1,A,Lowell town,Census2010Pop,1/1/10,358,Lowell,lowell
61,23,29,0,"41,610",0,1,A,Lubec town,Census2010Pop,1/1/10,"1,359",Lubec,lubec
