,make,model,vehicle_count,all_vehicles,vehicle_share,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
0,Chev,Silverado,185,4484,0.041257805530776084,329,761,948,0,64,2102,Paris,Shawn Moody,45.099904852521405
1,Chev,Silverado,4,65,0.06153846153846153,0,13,23,0,1,37,Great Pond,Shawn Moody,62.16216216216216
2,Chev,Silverado,15,226,0.0663716814159292,4,30,57,0,2,93,Merrill,Shawn Moody,61.29032258064516
3,Suba,Forester,131,4014,0.03263577478824116,248,2969,1029,0,158,4404,Orono,Janet Mills,67.41598546775656
4,Gmc,Sierra,7,82,0.08536585365853658,0,10,35,0,2,47,Upton,Shawn Moody,74.46808510638296
5,Chev,Silverado,50,1482,0.033738191632928474,48,450,396,0,15,909,Stockton Springs,Janet Mills,49.5049504950495
6,Chev,Silverado,127,1906,0.06663168940188878,52,305,471,0,23,851,Canaan,Shawn Moody,55.346650998824906
7,Chev,Silverado,301,7948,0.037871162556618015,172,1580,2334,0,50,4136,Buxton,Shawn Moody,56.431334622823975
8,Gmc,Sierra,41,625,0.0656,24,99,161,0,6,290,Mattawamkeag,Shawn Moody,55.517241379310335
9,Suba,Forester,127,2942,0.043167912984364384,81,902,708,0,25,1716,Bristol,Janet Mills,52.56410256410256
10,Chev,Silverado,166,3720,0.04462365591397849,113,826,1083,0,29,2051,Orrington,Shawn Moody,52.80351048269136
11,Chev,Silverado,50,1286,0.03888024883359253,39,386,290,0,15,730,Wayne,Janet Mills,52.87671232876712
12,Chev,Silverado,76,1540,0.04935064935064935,78,274,379,0,18,749,West Paris,Shawn Moody,50.600801068090774
13,Chev,Silverado,128,2559,0.05001953888237592,61,358,754,0,30,1203,Levant,Shawn Moody,62.676641729010804
14,Suba,Forester,46,938,0.04904051172707889,9,201,66,0,6,282,Chebeague Island,Janet Mills,71.27659574468083
15,Chev,Silverado,234,3514,0.06659077973819008,135,840,853,0,47,1875,Millinocket,Shawn Moody,45.493333333333325
16,Chev,Silverado,8,33,0.2424242424242424,0,4,13,0,2,19,Dennistown Plt,Shawn Moody,68.42105263157896
17,Chev,Silverado,128,2608,0.049079754601227,84,687,628,0,33,1432,Milford,Janet Mills,47.97486033519553
18,Chev,Silverado,121,1934,0.06256463288521201,45,648,357,0,15,1065,Deer Isle,Janet Mills,60.84507042253521
19,Chev,Silverado,72,1376,0.05232558139534884,50,315,301,0,14,680,Bradley,Janet Mills,46.32352941176471
20,Chev,Silverado,21,256,0.08203125,23,105,115,0,12,255,Dennysville,Shawn Moody,45.09803921568627
21,Suba,Forester,527,16117,0.03269839300117888,563,7578,3024,0,325,11490,Brunswick,Janet Mills,65.95300261096605
22,Suba,Legacy,30,845,0.03550295857988166,26,241,195,0,15,477,Westport Island,Janet Mills,50.524109014675055
23,Ford,F150,84,1994,0.04212637913741223,95,353,535,0,19,1002,Dixfield,Shawn Moody,53.39321357285428
24,Chev,Silverado,73,1737,0.042026482440990214,52,509,470,0,14,1045,Nobleboro,Janet Mills,48.708133971291865
25,Chev,Silverado,87,1523,0.057124097176625074,36,412,304,0,13,765,South Thomaston,Janet Mills,53.85620915032679
26,Chev,Silverado,112,1292,0.08668730650154799,24,217,283,0,12,536,Baileyville,Shawn Moody,52.798507462686565
27,Suba,Forester,46,883,0.052095130237825596,18,351,165,0,8,542,Brooklin,Janet Mills,64.76014760147602
28,Ford,F150,29,496,0.058467741935483875,11,88,118,0,3,220,Ripley,Shawn Moody,53.63636363636365
29,Mits,Outlan,2,14,0.14285714285714285,0,6,6,0,1,13,Centerville Twp,Tie,0.0
30,Chev,Silverado,65,1360,0.04779411764705883,51,208,410,0,13,682,Hartland,Shawn Moody,60.11730205278591
31,Chev,Silverado,57,1009,0.05649157581764123,21,201,273,0,11,506,Howland,Shawn Moody,53.952569169960476
32,Chev,Silverado,29,588,0.049319727891156476,22,130,132,0,5,289,Starks,Shawn Moody,45.674740484429066
33,Ford,F150,118,2220,0.05315315315315315,85,435,581,1,18,1120,Livermore,Shawn Moody,51.875
34,Ford,F150,11,76,0.14473684210526316,5,17,26,0,1,49,Cyr Plt,Shawn Moody,53.06122448979591
35,Chev,Silverado,108,2982,0.03621730382293763,108,719,707,0,32,1566,Alfred,Janet Mills,45.913154533844185
36,Chev,Silverado,81,1746,0.04639175257731958,39,402,454,0,22,917,Gouldsboro,Shawn Moody,49.50926935659759
37,Chev,Silverado,192,6732,0.0285204991087344,195,2044,1398,0,101,3738,Eliot,Janet Mills,54.68164794007491
38,Ford,F150,44,921,0.047774158523344185,25,145,271,0,26,467,Garland,Shawn Moody,58.02997858672375
39,Suba,Forester,63,1065,0.0591549295774648,24,407,260,0,16,707,Georgetown,Janet Mills,57.56718528995757
40,Toyo,Corolla,373,9359,0.039854685329629234,345,3705,1839,0,172,6061,Waterville,Janet Mills,61.12852664576803
41,Gmc,Sierra,113,2279,0.04958315050460728,84,555,515,0,21,1175,Orland,Janet Mills,47.23404255319148
42,Chev,Silverado,33,635,0.05196850393700786,16,131,170,0,19,336,Prospect,Shawn Moody,50.595238095238095
43,Chev,Silverado,73,1118,0.06529516994633273,38,410,243,0,19,710,Lubec,Janet Mills,57.74647887323944
44,Chev,Silverado,416,14476,0.028737220226581924,390,4039,4424,0,147,9000,Gorham,Shawn Moody,49.15555555555556
45,Ford,F150,327,14000,0.023357142857142854,437,4456,2729,0,237,7859,York,Janet Mills,56.699325613945796
46,Chev,Silverado,74,1655,0.04471299093655589,69,459,435,0,21,984,Lamoine,Janet Mills,46.64634146341464
47,Chev,Silverado,62,1121,0.05530776092774308,22,216,286,0,19,543,Jonesport,Shawn Moody,52.67034990791898
48,Gmc,Sierra,7,71,0.09859154929577464,1,11,18,0,0,30,Hammond,Shawn Moody,60.0
49,Chev,Silverado,209,4327,0.048301363531315,184,729,1099,0,68,2080,Houlton,Shawn Moody,52.83653846153847
50,Gmc,Sierra,19,324,0.058641975308641965,8,49,118,0,0,175,Passadumkeag,Shawn Moody,67.42857142857144
51,Chev,Silverado,135,2802,0.048179871520342615,56,480,766,0,42,1344,Newport,Shawn Moody,56.99404761904762
52,Gmc,Sierra,16,137,0.11678832116788325,7,41,43,0,1,92,Northfield,Shawn Moody,46.7391304347826
53,Chev,Silverado,378,6964,0.05427914991384262,146,1548,1483,0,104,3281,Skowhegan,Janet Mills,47.18073758000611
54,Gmc,Sierra,58,754,0.07692307692307693,15,66,239,0,8,328,Blaine,Shawn Moody,72.8658536585366
55,Gmc,Sierra,6,52,0.11538461538461535,6,28,11,0,2,47,Matinicus Isle Plt,Janet Mills,59.57446808510637
56,Gmc,Sierra,83,1286,0.0645412130637636,20,151,347,0,12,530,Greenbush,Shawn Moody,65.47169811320755
57,Toyo,Rav4,13,309,0.04207119741100323,7,70,70,0,4,151,Hanover,Tie,0.0
58,Chev,Silverado,106,2601,0.04075355632449057,80,545,761,0,28,1414,Pittston,Shawn Moody,53.818953323903806
59,Chev,Silverado,36,927,0.03883495145631068,20,279,213,1,9,522,Monroe,Janet Mills,53.44827586206896
60,Gmc,Sierra,3,20,0.15,0,4,8,0,0,12,Grand Falls Twp,Shawn Moody,66.66666666666664
61,Chev,Silverado,4,46,0.08695652173913043,0,11,21,0,1,33,Beddington,Shawn Moody,63.63636363636363
62,Chev,Silverado,149,3666,0.04064375340971085,124,638,932,0,34,1728,Litchfield,Shawn Moody,53.93518518518519
63,Chev,Silverado,85,1896,0.04483122362869199,38,356,529,2,12,937,Sebago,Shawn Moody,56.45677694770543
64,Club,Glfcrt,76,557,0.13644524236983843,5,104,50,0,4,163,Long Island,Janet Mills,63.803680981595086
65,Chev,Silverado,88,2416,0.03642384105960264,66,833,470,0,29,1398,Lincolnville,Janet Mills,59.58512160228896
66,Gmc,Sierra,18,240,0.075,11,26,75,0,0,112,Crystal,Shawn Moody,66.96428571428571
67,Gmc,Sierra,140,3549,0.03944773175542406,97,830,909,0,37,1873,Winterport,Shawn Moody,48.531767218366255
68,Gmc,Sierra,24,400,0.06,18,78,105,0,4,205,Roxbury,Shawn Moody,51.21951219512196
69,Ford,F150,104,2775,0.03747747747747748,78,445,685,0,29,1237,Acton,Shawn Moody,55.37590945836702
70,Chev,Silverado,10,151,0.0662251655629139,1,46,40,0,2,89,Sandy River Plt,Janet Mills,51.685393258426984
71,Toyo,Camry,621,23227,0.02673612606018857,647,9072,3308,0,295,13322,South Portland,Janet Mills,68.09788320072062
72,Chev,Silverado,204,5453,0.03741059966990647,171,2342,1006,0,104,3623,Belfast,Janet Mills,64.64256141319346
73,Toyo,Camry,504,18507,0.027232938887988323,545,6110,4917,0,269,11841,Scarborough,Janet Mills,51.6003715902373
74,Chev,Silverado,300,7671,0.03910833007430583,231,1794,2135,0,97,4257,Gray,Shawn Moody,50.152689687573414
75,Suba,Forester,82,1852,0.04427645788336933,44,742,358,2,23,1169,Newcastle,Janet Mills,63.47305389221557
76,Ford,F150,74,1445,0.05121107266435985,26,239,241,2,12,520,Milbridge,Shawn Moody,46.346153846153854
77,Ford,F150,58,1051,0.055185537583254035,32,149,410,0,17,608,Mars Hill,Shawn Moody,67.4342105263158
78,Chev,Silverado,121,2869,0.042174973858487286,100,546,691,0,21,1358,Limerick,Shawn Moody,50.883652430044165
79,Chev,Silverado,83,1828,0.04540481400437637,222,258,420,0,17,917,Buckfield,Shawn Moody,45.801526717557245
80,Gmc,Sierra,23,319,0.07210031347962381,9,46,110,0,6,171,Perham,Shawn Moody,64.32748538011698
81,Ford,F150,36,873,0.041237113402061855,62,135,220,1,20,438,Canton,Shawn Moody,50.228310502283115
82,Chev,Silverado,72,1158,0.0621761658031088,35,239,320,0,25,619,Dixmont,Shawn Moody,51.696284329563824
83,Chev,Silverado,301,7437,0.04047330913002554,210,1128,1738,0,62,3138,Waterboro,Shawn Moody,55.385595920968775
84,Chev,Silverado,4,43,0.09302325581395349,1,13,18,0,0,32,Talmadge,Shawn Moody,56.25
85,Suba,Forester,180,5152,0.03493788819875776,149,1788,1210,0,101,3248,Harpswell,Janet Mills,55.04926108374385
86,Chev,Silverado,103,2205,0.046712018140589576,54,469,565,0,18,1106,Hancock,Shawn Moody,51.084990958408675
87,Suba,Forester,318,11101,0.02864606792180885,308,3792,2423,0,127,6650,Kennebunk,Janet Mills,57.02255639097745
88,Chev,Silverado,13,222,0.05855855855855858,9,35,65,0,3,112,Wade,Shawn Moody,58.03571428571429
89,Suba,Forester,267,6561,0.040695016003657984,257,2633,1213,15,98,4216,Bath,Janet Mills,62.45256166982922
90,Chev,Silverado,11,108,0.10185185185185182,3,15,39,0,0,57,Crawford,Shawn Moody,68.42105263157896
91,Ford,F150,65,1767,0.036785512167515556,73,371,458,0,12,914,Otisfield,Shawn Moody,50.109409190371984
92,Chev,Silverado,46,915,0.050273224043715856,28,174,235,0,7,444,Embden,Shawn Moody,52.927927927927925
93,Ford,F150,114,2714,0.04200442151805453,101,804,741,0,77,1723,Fort Kent,Janet Mills,46.66279744631456
94,Gmc,Sierra,58,1143,0.05074365704286963,37,180,336,0,19,572,Medway,Shawn Moody,58.741258741258754
95,Gmc,Sierra,45,633,0.07109004739336494,27,114,183,0,5,329,Island Falls,Shawn Moody,55.623100303951375
96,Gmc,Sierra,31,555,0.05585585585585586,14,87,188,1,5,295,New Limerick,Shawn Moody,63.728813559322035
97,Chev,Silverado,15,275,0.05454545454545455,15,127,63,0,14,219,Saint Francis,Janet Mills,57.99086757990869
98,Chev,Silverado,87,2125,0.04094117647058823,85,372,565,0,16,1038,Leeds,Shawn Moody,54.4315992292871
99,Gmc,Sierra,87,2484,0.03502415458937199,90,464,649,0,19,1222,Chelsea,Shawn Moody,53.10965630114567
100,Chev,Silverado,87,2567,0.03389170237631476,106,758,563,0,37,1464,Bethel,Janet Mills,51.77595628415301
101,Chev,Impala,32,664,0.048192771084337345,41,121,321,0,9,492,Sherman,Shawn Moody,65.24390243902438
102,Gmc,Sierra,39,763,0.051114023591087805,28,122,229,0,10,389,Harmony,Shawn Moody,58.868894601542415
103,Ford,F150,22,492,0.04471544715447154,21,89,119,0,11,240,Carthage,Shawn Moody,49.583333333333314
104,Gmc,Sierra,64,1042,0.061420345489443376,41,149,251,0,20,461,Ashland,Shawn Moody,54.44685466377441
105,Chev,Silverado,24,305,0.07868852459016394,8,63,91,0,9,171,Charlotte,Shawn Moody,53.21637426900584
106,Gmc,Sierra,43,479,0.08977035490605428,25,79,180,0,14,298,Danforth,Shawn Moody,60.402684563758385
107,Chev,Silverado,73,1521,0.04799474030243261,32,272,347,0,12,663,Hiram,Shawn Moody,52.33785822021116
108,Ford,F150,23,288,0.07986111111111112,9,24,91,0,1,125,Springfield,Shawn Moody,72.8
109,Chev,Silverado,145,3247,0.04465660609793656,75,749,889,0,37,1750,Belgrade,Shawn Moody,50.8
110,Gmc,Sierra,18,205,0.08780487804878048,4,15,66,0,2,87,Moose River,Shawn Moody,75.86206896551725
111,Gmc,Sierra,44,519,0.08477842003853565,8,118,128,0,3,257,Jonesboro,Shawn Moody,49.805447470817136
112,Ford,F150,7,88,0.07954545454545454,3,4,29,0,0,36,Mattamiscontis Twp,Shawn Moody,80.55555555555557
113,Ford,F150,50,943,0.053022269353128315,37,154,248,0,13,452,Exeter,Shawn Moody,54.86725663716814
114,Suba,Forester,58,1233,0.04703974047039741,31,377,297,0,12,717,Edgecomb,Janet Mills,52.58019525801952
115,Ford,F150,12,198,0.060606060606060615,4,48,36,0,1,89,Wellington,Janet Mills,53.93258426966291
116,Chev,Silverado,16,361,0.044321329639889204,13,50,93,0,2,158,Eastbrook,Shawn Moody,58.8607594936709
117,Gmc,Sierra,13,220,0.059090909090909076,7,22,38,0,1,68,Argyle Twp,Shawn Moody,55.882352941176464
118,Toyo,Tacoma,4,54,0.07407407407407406,1,7,18,0,0,26,Deblois,Shawn Moody,69.23076923076924
119,Suba,Forester,69,2037,0.03387334315169367,61,644,493,1,31,1230,Boothbay Harbor,Janet Mills,52.35772357723577
120,Chev,Silverado,85,1510,0.05629139072847682,37,293,476,0,16,822,Newburgh,Shawn Moody,57.90754257907545
121,Chev,Silverado,43,855,0.05029239766081872,29,208,259,0,10,506,Morrill,Shawn Moody,51.18577075098814
122,Chev,Silverado,47,507,0.09270216962524656,7,74,154,1,6,242,Alexander,Shawn Moody,63.63636363636363
123,Chev,Silverado,59,1628,0.036240786240786235,54,267,401,0,15,737,Newfield,Shawn Moody,54.40976933514247
124,Chev,Silverado,192,3987,0.04815650865312265,159,816,1042,0,36,2053,Monmouth,Shawn Moody,50.75499269361909
125,Suba,Outback,122,2751,0.044347509996364956,84,1037,503,0,25,1649,Blue Hill,Janet Mills,62.886597938144334
126,Gmc,Sierra,20,233,0.08583690987124461,11,55,43,0,5,114,Caswell,Janet Mills,48.24561403508772
127,Ford,F150,215,9155,0.023484434735117424,271,3163,1381,0,167,4982,Kittery,Janet Mills,63.488558811722214
128,Chev,Silverado,12,179,0.06703910614525141,4,34,47,0,3,88,Hamlin,Shawn Moody,53.40909090909091
129,Chev,Silverado,90,2221,0.0405222872579919,72,535,618,1,20,1246,Union,Shawn Moody,49.598715890850734
130,Gmc,Sierra,325,6235,0.05212510024057738,281,1141,1594,0,92,3108,Caribou,Shawn Moody,51.28700128700127
131,Chev,Silverado,59,743,0.0794078061911171,27,180,222,0,18,447,Bingham,Shawn Moody,49.66442953020134
132,Suba,Outback,31,1038,0.029865125240847782,43,319,326,0,22,710,Kingfield,Shawn Moody,45.91549295774648
133,Chev,Silverado,139,3355,0.04143070044709389,89,925,789,2,40,1845,Boothbay,Janet Mills,50.13550135501357
134,Chev,Silverado,147,4450,0.033033707865168536,133,1117,1273,0,28,2551,Raymond,Shawn Moody,49.90199921599374
135,Ford,F150,117,3347,0.03495667762175082,115,886,844,0,38,1883,Wilton,Janet Mills,47.052575677110994
136,Gmc,Sierra,32,426,0.07511737089201878,10,79,153,0,6,248,Cutler,Shawn Moody,61.69354838709677
137,Toyo,Camry,471,17015,0.027681457537466942,483,4559,3010,1,207,8260,Biddeford,Janet Mills,55.19370460048426
138,Chev,Silverado,102,2701,0.03776379118844871,75,868,545,0,27,1515,Saint George,Janet Mills,57.29372937293728
139,Chev,Silverado,52,1109,0.04688908926961226,40,190,294,0,18,542,Frankfort,Shawn Moody,54.24354243542434
140,Chev,Silverado,71,1133,0.06266548984995585,18,211,276,0,12,517,Burnham,Shawn Moody,53.384912959381055
141,Toyo,Camry,750,23644,0.03172052106242599,962,7056,5497,13,350,13878,Lewiston,Janet Mills,50.843060959792496
142,Gmc,Sierra,5,87,0.057471264367816084,1,15,28,0,3,47,Maxfield,Shawn Moody,59.57446808510637
143,Chev,Silverado,56,838,0.0668257756563246,20,126,231,0,7,384,Harrington,Shawn Moody,60.15625
144,Chev,Silverado,63,1667,0.03779244151169766,51,423,458,0,21,953,Dresden,Shawn Moody,48.058761804826865
145,Toyo,Camry,286,6734,0.04247104247104247,197,1659,1729,0,64,3649,Winslow,Shawn Moody,47.382844614963
146,Ford,F150,142,2754,0.05156136528685548,150,507,688,0,41,1386,Fort Fairfield,Shawn Moody,49.63924963924965
147,Gmc,Sierra,8,95,0.08421052631578947,7,17,30,0,2,56,Lakeville,Shawn Moody,53.57142857142857
148,Chev,Silverado,123,3183,0.038642789820923645,81,543,764,0,40,1428,Dexter,Shawn Moody,53.5014005602241
149,Chev,Silverado,188,3182,0.05908233815210559,86,603,724,0,35,1448,Norridgewock,Shawn Moody,50.0
150,Niss,Sentra,482,17828,0.027036122952658736,493,3374,3464,0,248,7579,Sanford,Shawn Moody,45.70523815806835
151,Ford,F150,71,1511,0.04698874917273328,64,513,415,0,14,1006,Pownal,Janet Mills,50.99403578528826
152,Chev,Silverado,98,1812,0.05408388520971304,60,261,568,2,16,907,Saint Albans,Shawn Moody,62.62403528114664
153,Chev,Silverado,19,277,0.06859205776173287,9,66,82,1,7,165,Stoneham,Shawn Moody,49.696969696969674
154,Chev,Silverado,232,5608,0.04136947218259629,213,1267,1366,0,85,2931,Oakland,Shawn Moody,46.60525417946093
155,Ford,F150,22,368,0.05978260869565216,12,55,105,0,4,176,Ludlow,Shawn Moody,59.65909090909092
